u,v,usage,pop_affected,pop_lost,score
10058064452,10058064473,133254,0,0,
1428254648,1428254675,132913,0,0,
10058064452,10058064471,132891,0,0,
1431219760,1431219776,131847,0,0,
10058064471,10058064472,130820,0,0,
1428254648,11846332695,130148,0,0,
1428213459,1428213501,129751,0,0,
1428254602,11846332695,129440,0,0,
1428212991,1428213013,129345,0,0,
1428213363,1428213459,129293,0,0,
1431135562,1431135589,129135,0,0,
4843181494,10051759862,127856,0,0,
5526899721,5526899723,127262,0,0,
1431219760,1431334887,127066,0,0,
5526899721,11955400464,126844,0,0,
1431334873,1431334887,126600,0,0,
3436457254,11955400464,126461,0,0,
1431135589,1431135596,126321,0,0,
1428213343,1428213363,126260,0,0,
3436457254,3436457256,126112,0,0,
1431135596,1431135601,126087,0,0,
1431334873,1431334875,126064,0,0,
1428213318,1428213343,125806,0,0,
1428213290,1428213318,125486,0,0,
1428213290,6324694780,125147,0,0,
6330030041,6330030043,125070,0,0,
1425319191,3887415587,124810,0,0,
7058891216,10051759862,124694,0,0,
1428255268,1429141421,124531,0,0,
1430553178,1430553243,124398,0,0,
1430553178,11846501913,124030,0,0,
1428255268,10004331264,123731,0,0,
1428213232,6324694780,123567,0,0,
1428213232,5526816887,123165,0,0,
10004331263,10004331264,123021,0,0,
1832906027,3842301654,122869,0,0,
5526816887,5526816888,122807,0,0,
1429261253,10004331263,122556,0,0,
1428213168,5526816888,122391,0,0,
4836077486,9729730118,122220,0,0,
4836077465,4836077486,122056,0,0,
1428104831,1428104841,122003,0,0,
4836067991,4836077465,121988,0,0,
1428152768,1428213168,121919,0,0,
1428104810,1428104831,121514,0,0,
1428152768,5526816884,121501,0,0,
1428152384,5526816884,121243,0,0,
3436457154,3436457256,121176,0,0,
1424618587,6330030041,121042,0,0,
1428152364,1428152384,120897,0,0,
3436457154,3436457155,120851,0,0,
3436457155,3832525523,120526,0,0,
1428104810,4830855512,120507,0,0,
6241105287,6475195004,120236,0,0,
1428104819,4830855512,119940,0,0,
6241105281,6241105287,119934,0,0,
1428104819,6926601819,119436,0,0,
4832031790,6926601819,118871,0,0,
1428254602,11716544561,118843,0,0,
1428152358,1428152364,118576,0,0,
1428254663,11716544561,118421,0,0,
1428152358,6868625117,118176,0,0,
1428254663,11846443309,118127,0,0,
3832525523,3832525526,117577,0,0,
4849323131,9054502255,117399,0,0,
5560188512,6868625117,117244,0,0,
1425481126,3832525526,117140,0,0,
4849323130,4849323131,117020,0,0,
1428152140,5560188512,116883,0,0,
4849323130,4849323132,116829,0,0,
1424618870,6241105281,116803,0,0,
1425700387,9849200237,116716,0,0,
1424618826,1424618870,115872,0,0,
1428104821,4832031790,115515,0,0,
1428425968,1431135601,115473,0,0,
1425700203,9849200237,115157,0,0,
1431135583,1431135598,115146,0,0,
1428104821,2917342574,114929,0,0,
6329964517,13255861071,114800,0,0,
6329964512,6329964517,114676,0,0,
1424618796,1424618826,114627,0,0,
1431135543,1431135583,114599,0,0,
1442701157,7188446163,114452,0,0,
6329964510,6329964512,114367,0,0,
1424618771,1424618796,114307,0,0,
1430553625,10258980828,114195,0,0,
1431135515,1431135543,114145,0,0,
1424618771,1424618812,113951,0,0,
1431135484,1431135515,113867,0,0,
1428104823,2917342574,113758,0,0,
1431135419,1431135484,113630,0,0,
6473226597,11846443309,113576,0,0,
1424618812,1424618838,113509,0,0,
9729730118,9729730140,113480,0,0,
1442701157,1442701178,113342,0,0,
1431135419,12096706402,113271,0,0,
1428254867,6473226597,113257,0,0,
9729730139,9729730140,113222,0,0,
1424618838,1424618858,113082,0,0,
4836067991,4836068127,112864,0,0,
1431135422,12096706402,112717,0,0,
1424618839,1424618858,112675,0,0,
1442701176,7188446163,112594,0,0,
4733184507,4836068127,112492,0,0,
1431135418,1431135422,112482,0,0,
1428254867,1428254957,112468,0,0,
1442701176,6024343273,112361,0,0,
1424618839,1424618861,112260,0,0,
1428425898,1431135418,112203,0,0,
4733184507,9179169181,112165,0,0,
3646418738,9179169181,112066,0,0,
1424618861,1424618879,111862,0,0,
4926498586,6024343273,111402,0,0,
1425386021,10081129564,111397,0,0,
3826575995,4926498586,111178,0,0,
1424618879,11046544883,111166,0,0,
1425700707,1425700732,110781,0,0,
1431334875,11891042754,110779,0,0,
1431135406,10258980828,110535,0,0,
1428426094,11891042754,110458,0,0,
1425700706,1425700707,110428,0,0,
9958465962,10081129564,110420,0,0,
3945278376,11046544883,110286,0,0,
1425700706,1425700721,110042,0,0,
1424618937,3945278376,109899,0,0,
